X a:y(Car body) - Acceleration of point (6 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (6 0 1) of body Car body relative to Base0  SC Base0  projection Z,
0,0,-53.025604
0.0053750002,0,0.30581492
0.010375,0,0.88194883
0.015375,0,0.23312707
0.020375,0,0.079904556
0.025125001,0,-24.999695
0.030375,0,0.35864693
0.035374999,0,9.2212934
0.040125001,0,0.30184436
0.045375001,0,-0.12584887
0.050875001,0,-0.79726076
0.055125002,0,-32.673573
0.060375001,0,-0.036745768
0.065875001,0,0.49476394
0.070124999,0,2.2263088
0.075125001,0,0.092579588
0.080124997,0,-7.9381118
0.085124999,0,-0.0080856597
0.090625003,0,0.50996238
0.095624998,0,1.1144271
0.100625,0,0.94146395
0.105625,0,1.1131873
0.110125,0,7.507863
0.115125,0,0.46085024
0.120125,0,0.28974402
0.12512501,0,0.50711393
0.130125,0,0.57456028
0.135125,0,9.094656
0.14012501,0,0.055442784
0.145125,0,-0.0024029568
0.15062501,0,-0.2864221
0.155625,0,-0.5961352
0.160625,0,-0.57431179
0.16562501,0,-0.83061844
0.17012499,0,-13.713983
0.175375,0,-0.45632213
0.180875,0,0.04936612
0.185875,0,0.13858256
0.190125,0,6.3851995
0.195375,0,0.096745864
0.20037501,0,-0.23036319
0.205375,0,-3.398056
0.210125,0,0.079015806
0.21512499,0,0.75204349
0.220125,0,0.83760816
0.225125,0,1.0884778
0.230125,0,1.0451218
0.23612501,0,0.93903035
0.240125,0,1.5299695
0.245625,0,0.75336307
0.25062501,0,0.69965965
0.25562501,0,0.61056715
0.260625,0,0.36336464
0.265625,0,0.3650088
0.270625,0,0.2530579
0.27662501,0,0.1302741
0.28062499,0,0.047344267
0.28512499,0,-5.1202211
0.29037499,0,0.082452811
0.29537499,0,0.054738905
0.30037501,0,0.026081333
0.30537501,0,-0.11138172
0.31137499,0,-0.13093653
0.315375,0,-0.1951776
0.32137501,0,-0.1602191
0.32537499,0,-0.050423879
0.33037499,0,0.052262098
0.335875,0,-0.070693322
0.340875,0,0.11722107
0.34587499,0,0.78857285
0.35087499,0,-0.11834145
0.356875,0,-0.076188445
0.36087501,0,-0.2334456
0.36587501,0,-0.19270997
0.37187499,0,-0.19072486
0.375875,0,-0.19111991
0.38187501,0,-0.09521272
0.38587499,0,-0.082658559
0.39087501,0,-0.072055019
0.395125,0,-11.879312
0.40037501,0,0.46470973
0.405375,0,0.70354474
0.410375,0,0.83730882
0.41537499,0,0.84432256
0.42037499,0,0.70912606
0.42587501,0,0.50427437
0.430875,0,0.53629392
0.435875,0,0.45484319
0.44012499,0,0.754237
0.44512501,0,0.9869889
0.45012501,0,0.98233402
0.455125,0,1.0544461
0.46112499,0,0.91808683
0.46512499,0,0.75894701
0.47112501,0,0.56065732
0.47512501,0,0.41943002
0.481125,0,0.11610149
0.48512501,0,-0.030951632
0.49112499,0,-0.15434177
0.495125,0,-0.14030729
0.50012499,0,-0.20006149
0.50512499,0,-0.22084326
0.51012498,0,-0.25598702
0.51612502,0,-0.40728644
0.52012497,0,0.17986962
0.52512503,0,-0.55560374
0.53012502,0,-0.74317837
0.53512502,0,-0.81024075
0.54012501,0,-0.63304609
0.54512501,0,-0.68793225
0.550125,0,-0.19360292
0.55562502,0,0.17559835
0.56062502,0,0.30812174
0.56562501,0,0.6455971
0.57062501,0,0.76071179
0.575625,0,0.60858315
0.580625,0,0.7337786
0.58662498,0,0.71041429
0.59062499,0,0.70981658
0.59662497,0,0.74955046
0.60062498,0,0.72243959
0.60562497,0,0.6497227
0.61062503,0,0.50599813
0.615125,0,0.74064142
0.620125,0,0.65121818
0.62512499,0,-2.124949
0.63062501,0,0.48545697
0.635625,0,0.4021517
0.640625,0,0.24961939
0.64512497,0,0.065375634
0.65062499,0,-0.1068653
0.65512502,0,-6.2405305
0.66062498,0,0.013033106
0.66562498,0,0.15420005
0.67012501,0,0.91868126
0.675125,0,0.01753475
0.680125,0,-0.014028613
0.68612498,0,-0.13179603
0.69012499,0,-0.11979548
0.69562501,0,-0.044683155
0.700625,0,-0.078678265
0.70662498,0,0.028173519
0.71062499,0,0.009767672
0.71562499,0,0.090629332
0.72062498,0,0.7157461
0.72562498,0,0.11622562
0.73062497,0,0.27205843
0.73512501,0,-1.9903107
0.740125,0,0.41093138
0.745125,0,0.33153436
0.75012499,0,0.22904678
0.75612497,0,0.33482474
0.76012498,0,0.22834271
0.76512498,0,0.31996483
0.77012497,0,-2.5686584
0.77562499,0,0.35699058
0.78062499,0,0.47109917
0.78562498,0,0.47600663
0.79162502,0,0.37331697
0.79562497,0,0.37084556
0.800125,0,-0.31695998
0.805125,0,0.27757087
0.81012499,0,0.24721743
0.81612498,0,0.21048488
0.82012498,0,0.17260399
0.82512498,0,0.052207693
0.83012497,0,0.21762712
0.83512503,0,0.21963504
0.84112501,0,0.1783435
0.84512502,0,-0.87007546
0.85012501,0,0.1291272
0.856125,0,0.0728027
0.86012501,0,-0.2048367
0.865125,0,0.039346796
0.870125,0,0.9564901
0.87512499,0,0.28416473
0.88012499,0,0.12462118
0.885625,0,0.17154503
0.890625,0,0.22155212
0.895625,0,0.091553919
0.90162498,0,0.25664541
0.90562499,0,-0.0092458436
0.91062498,0,0.26198238
0.91562498,0,0.14203706
0.92062497,0,0.2608206
0.92562503,0,-0.07383538
0.93062502,0,0.29018903
0.93562502,0,-0.070601016
0.94062501,0,0.22890018
0.94562501,0,0.29442441
0.950625,0,0.099350616
0.95512497,0,-0.012202108
0.96012503,0,0.17404473
0.96512502,0,0.080575295
0.97012502,0,-0.12419813
0.976125,0,0.10023366
0.98012501,0,-0.12372008
0.98612499,0,-0.059076402
0.990125,0,-0.16664876
0.99562502,0,-0.098549128
1.000625,0,0.034879066
1.005625,0,-0.091206886
1.0116251,0,-0.021614634
1.015625,0,-0.13267718
1.021625,0,-0.098393336
1.025625,0,-0.10630831
1.030625,0,-0.10979763
1.035125,0,-0.016641634
1.040125,0,-0.085758522
1.045125,0,-0.099159747
1.050125,0,-0.66139907
1.055125,0,0.28843495
1.060125,0,-0.25926757
1.065125,0,0.20049326
1.071125,0,0.055179406
1.075125,0,0.20086564
1.080125,0,0.27200764
1.085125,0,-0.035273496
1.090625,0,0.059165433
1.095625,0,0.17681332
1.101625,0,0.044670984
1.105625,0,0.2033827
1.110625,0,-0.00018879588
1.115625,0,0.41930416
1.120625,0,-0.043357011
1.125625,0,0.065266214
1.130625,0,-0.16697054
1.135625,0,0.10062785
1.140625,0,-0.11893546
1.145625,0,0.078895569
1.150625,0,-0.11515138
1.155625,0,-0.079211548
1.161625,0,-0.014652509
1.165625,0,-0.096299253
1.171625,0,0.011483661
1.175625,0,-0.084499896
1.180625,0,-0.063977838
1.186625,0,-0.015920578
1.190625,0,-0.081784368
1.196625,0,-0.023552252
1.2006249,0,-0.22844046
1.2056251,0,0.04205643
1.2106251,0,-0.12795524
1.215625,0,0.18896133
1.220625,0,-0.050919298
1.225625,0,0.0094228406
1.231625,0,0.15779361
1.235625,0,0.013930295
1.240625,0,0.32800636
1.245625,0,0.090101898
1.250625,0,-0.06070954
1.255625,0,0.078831263
1.260625,0,-0.044608422
1.265625,0,0.060612425
1.270625,0,0.077876903
1.276625,0,-0.019418193
1.280625,0,0.087136179
1.286625,0,0.041427176
1.290625,0,-0.078300677
1.295125,0,-0.020160604
1.300125,0,0.079338163
1.305125,0,-0.037132036
1.310125,0,-0.054935921
1.316125,0,0.041114986
1.320125,0,-0.075515904
1.325125,0,-0.14774834
1.330125,0,0.053471182
1.335125,0,0.0086823506
1.340125,0,0.11811934
1.345125,0,-0.098849602
1.350125,0,0.056653038
1.355125,0,0.02770818
1.3601249,0,-0.11351155
1.3651249,0,-0.1026364
1.371125,0,-0.00033144644
1.3751251,0,0.010463391
1.381125,0,0.041471485
1.385125,0,-0.0028864518
1.391125,0,0.066099934
1.395125,0,0.065417662
1.400125,0,0.080341123
1.405625,0,0.03124713
1.410625,0,-0.0033287217
1.415625,0,0.03602957
1.421625,0,-0.0022382634
1.425625,0,0.030307675
1.431625,0,0.016426658
1.435625,0,0.099469498
1.440625,0,-0.055268802
1.4456249,0,0.040937182
1.451625,0,0.055888504
1.4556251,0,-0.062392462
1.4606251,0,0.02225242
1.465625,0,-0.044628587
1.470625,0,-0.03000525
1.476625,0,0.038787976
1.480625,0,-0.037459366
1.485625,0,0.054069161
1.490625,0,-0.05993535
1.495625,0,0.0020574203
1.5016249,0,-0.046076283
1.505625,0,0.010472373
1.510625,0,0.066795126
1.515625,0,0.0047332221
1.521625,0,-0.006694871
1.525625,0,0.0032727499
1.531625,0,0.011712871
1.535625,0,0.04100135
1.541625,0,-0.001314798
1.545625,0,0.038363606
1.550625,0,0.099148452
1.555625,0,-0.078488223
1.561625,0,-0.0697143
1.565625,0,0.023144875
1.571625,0,0.013168362
1.5756249,0,-0.0057553784
1.5806251,0,0.018761598
1.586625,0,0.0031048763
1.590625,0,-0.0057653114
1.596625,0,0.0083083538
1.600625,0,0.031555474
1.605625,0,-0.01654957
1.6101249,0,0.00023813471
1.6151249,0,0.019399101
1.6201251,0,-0.027164651
1.6251251,0,0.0067798155
1.631125,0,0.01140457
1.635125,0,-0.0061592851
1.641125,0,-0.0045795031
1.645125,0,0.0025535647
1.650125,0,-0.012985051
1.6561249,0,-0.0055762231
1.660125,0,-0.01189226
1.665125,0,0.012319895
1.670125,0,-0.0079113198
1.675125,0,-0.0054731471
1.681125,0,-0.010315016
1.685125,0,-0.0055597974
1.691125,0,-0.0034946296
1.695125,0,-0.0040774336
1.700125,0,0.011442762
1.7056251,0,-0.015775638
1.7106251,0,0.012750009
1.715625,0,0.00069674244
1.721625,0,0.0010941372
1.725625,0,-0.00030093349
1.731625,0,0.0032686177
1.735625,0,0.0052869967
1.740625,0,0.0023839609
1.7466249,0,0.027200354
1.750625,0,0.002986189
1.7566251,0,0.020585971
1.760625,0,0.010188884
1.765625,0,0.0030129266
1.771625,0,0.015724735
1.775625,0,-0.0025247827
1.780625,0,0.016155107
1.785625,0,-0.041802336
1.790625,0,-0.010468813
1.796625,0,-0.011571441
1.800625,0,0.0015602091
1.806625,0,-0.0019299361
1.810625,0,-0.0036169409
1.815625,0,-0.0026361239
1.821625,0,-0.018577244
1.8256249,0,0.010594365
1.831625,0,-0.12735404
1.8356251,0,0.0029248579
1.840625,0,-0.019164251
1.846625,0,-0.0059112497
1.850625,0,-0.013965753
1.856625,0,-0.0029665332
1.860625,0,0.029002842
1.865625,0,-0.0032637808
1.8716249,0,-0.0075748153
1.875625,0,0.013947261
1.8816251,0,0.0080095334
1.885625,0,-0.0077527603
1.890625,0,0.0064415233
1.895125,0,0.0063868724
1.900125,0,0.031628907
1.905125,0,-0.0028931901
1.910125,0,0.011355633
1.9161251,0,-0.0025342084
1.920125,0,-0.010406354
1.926125,0,-0.013523494
1.930125,0,-0.0064991671
1.935125,0,-0.0013965914
1.941125,0,-0.0078617921
1.945125,0,-0.013040073
1.951125,0,0.038299248
1.955125,0,-0.015043276
1.960125,0,0.0010735177
1.966125,0,0.032943141
1.970125,0,-0.034939833
1.976125,0,0.010164198
1.980125,0,-0.0043263962
1.9851249,0,-0.0085453587
1.990625,0,0.016165262
1.995625,0,0.015336519
2.0006249,0,0.0088633718
2.0066249,0,-0.0025576428
2.0106249,0,0.010907602
2.0166249,0,0.063435726
2.0206251,0,9.8995093E-0005
2.025125,0,0.0050419811
2.0301249,0,0.021679575
2.035125,0,-0.0042540068
2.0411251,0,-0.004127509
2.045125,0,0.00030844435
2.051125,0,-0.010399006
2.055125,0,-0.034455106
