XTime (sec) (Time  sec)a:y(Car body) a:y(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Y (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:z(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Z (a:y(Car body)),
0,0,-15.516794
0.0053750002,0,0.054407816
0.010375,0,0.19206837
0.015375,0,0.22217825
0.020375,0,-0.14897415
0.025125001,0,-7.3593321
0.030375,0,0.26744542
0.035374999,0,2.7935112
0.040125001,0,0.24358669
0.045375001,0,-0.2015816
0.050875001,0,-0.14904512
0.055125002,0,-9.5988932
0.060375001,0,0.07522995
0.065875001,0,0.16640182
0.070124999,0,0.74557561
0.075125001,0,-0.20622925
0.080124997,0,-2.1740975
0.085124999,0,0.083161585
0.090625003,0,0.27328753
0.095624998,0,0.14180925
0.100625,0,0.39929938
0.105625,0,0.11716309
0.110125,0,2.2344079
0.115125,0,0.17889859
0.120125,0,0.11736105
0.12512501,0,-0.008025432
0.130125,0,0.22144452
0.135125,0,2.4853337
0.14012501,0,0.06419307
0.145125,0,-0.17384247
0.15062501,0,-0.15323588
0.155625,0,-0.14862467
0.160625,0,-0.30675623
0.16562501,0,-0.22996894
0.17012499,0,-4.3569512
0.175125,0,-0.087852702
0.18062501,0,-0.012226707
0.185625,0,0.091308609
0.190125,0,2.1325378
0.195375,0,0.059121337
0.20037501,0,0.25004193
0.205375,0,-1.2144949
0.210375,0,0.28524017
0.21537501,0,0.22635141
0.220375,0,0.45955381
0.225375,0,0.34960556
0.23037501,0,0.31844059
0.235375,0,0.86995268
0.240375,0,0.2053358
0.24537501,0,0.23257223
0.250375,0,0.19735554
0.255375,0,0.079735391
0.26037499,0,0.069391817
0.26537499,0,-0.045691568
0.27037501,0,-0.080643222
0.276375,0,-0.12983069
0.28012499,0,-2.4423041
0.285375,0,-0.067303121
0.29037499,0,-0.084729411
0.29537499,0,-0.07549607
0.30037501,0,0.00013917722
0.30537501,0,-0.024057245
0.31137499,0,0.052789483
0.315375,0,0.021150582
0.32137501,0,0.090857781
0.32537499,0,0.083665736
0.33037499,0,0.025845995
0.335875,0,0.075433485
0.340875,0,0.055064104
0.34587499,0,-0.0031414251
0.35187501,0,0.01752268
0.35587499,0,-0.049476881
0.361875,0,-0.044454932
0.36587501,0,-0.081759967
0.370875,0,-0.04825151
0.375375,0,-1.033097
0.380375,0,0.064373799
0.38587499,0,0.086228296
0.39087501,0,0.20227616
0.39587501,0,0.2548115
0.40187499,0,0.2321457
0.405875,0,0.29834586
0.41187501,0,0.2570484
0.41587499,0,0.26656181
0.42037499,0,0.86992401
0.42537501,0,0.13447911
0.43037501,0,0.11535338
0.43637499,0,0.06210478
0.440375,0,0.00047647394
0.44637501,0,-0.052401923
0.45037499,0,-0.11537848
0.45537499,0,-0.97174293
0.460875,0,-0.040414032
0.465875,0,0.043418266
0.47087499,0,0.011321999
0.47687501,0,0.070535317
0.48087499,0,0.036609411
0.486875,0,0.092680395
0.49037501,0,0.52551883
0.49537501,0,0.043151658
0.50037497,0,0.056576766
0.50637501,0,0.05744312
0.51037502,0,0.020645594
0.51637501,0,0.012832561
0.52037501,0,-0.023466133
0.52537501,0,0.020310091
0.53087503,0,0.060931806
0.53587502,0,0.14477147
0.541875,0,0.12296197
0.54587501,0,0.16082633
0.551875,0,0.14921026
0.555875,0,0.13785408
0.56187499,0,0.1317798
0.56537497,0,-0.19869561
0.57037503,0,0.11328173
0.57537502,0,0.12887862
0.58037502,0,0.096771002
0.58537501,0,-0.0075202114
0.59037501,0,0.065083675
0.595375,0,-0.026956473
0.600375,0,-0.96634483
0.60537499,0,0.058110945
0.61037499,0,0.0052880719
0.61537498,0,0.099221312
0.62137502,0,0.10818584
0.62537497,0,0.066049919
0.63037503,0,0.11044802
0.63587499,0,0.078237832
0.64087498,0,0.024556672
0.64687502,0,0.045047551
0.65037501,0,-1.598812
0.65587503,0,0.11263283
0.66087502,0,0.12617964
0.66587502,0,0.084404692
0.67087501,0,0.12582205
0.67587501,0,0.17398842
0.680875,0,0.092739984
0.685875,0,0.070569821
0.69187498,0,0.025026251
0.69587499,0,0.020748314
0.70087498,0,-0.036404192
0.70537502,0,-0.27259988
0.71037501,0,0.066983268
0.71537501,0,0.069241345
0.720375,0,0.025633475
0.72637498,0,0.080258988
0.73037499,0,0.052775711
0.73637497,0,0.0071193674
0.74037498,0,0.016781379
0.74537498,0,-0.022581395
0.75037497,0,-0.58510983
0.75537503,0,0.087905213
0.76037502,0,0.073967531
0.76537502,0,0.11281238
0.77037501,0,0.087042265
0.77537501,0,0.10449512
0.780375,0,0.083396055
0.78637499,0,0.11881594
0.79037499,0,0.080217257
0.79637498,0,0.091417603
0.80037498,0,-0.049304504
0.80537498,0,0.091118515
0.81037498,0,0.073792301
0.81537497,0,0.08151596
0.82037503,0,-0.047475189
0.82537502,0,0.17727011
0.83037502,0,0.087380923
0.83537501,0,0.020654971
0.84037501,0,-0.029285563
0.845375,0,0.10652263
0.850375,0,-0.20038119
0.85537499,0,-0.0056506307
0.86037499,0,-0.10446576
0.86537498,0,-0.011079029
0.87037498,0,-0.12141851
0.87537497,0,0.095723636
0.88037503,0,-0.080473587
0.88537502,0,-0.016750233
0.89037502,0,0.046481736
0.89537501,0,-0.057194907
0.90037501,0,0.010435755
0.905375,0,0.038665399
0.91137499,0,-0.016044019
0.91537499,0,0.026055189
0.92037499,0,-0.085329741
0.92537498,0,0.10549293
0.93037498,0,-0.0091652805
0.93537498,0,0.075237587
0.94137502,0,-0.022820251
0.94537503,0,0.073422685
0.95037502,0,-0.076397151
0.95537502,0,0.083065055
0.96037501,0,0.0060836188
0.96537501,0,-0.039842598
0.970375,0,0.067369647
0.975375,0,-0.025431857
0.98137498,0,0.01578762
0.98537499,0,-0.019945174
0.99137503,0,0.0097140111
0.99537498,0,-0.043520361
1.000875,0,0.087379746
1.005875,0,-0.057924576
1.010875,0,0.049564954
1.015875,0,-0.024241347
1.020875,0,-0.021553569
1.025875,0,0.039503433
1.030875,0,-0.039142597
1.036875,0,-0.0042882846
1.040875,0,-0.030126629
1.046875,0,0.014859455
1.0508749,0,-0.13297571
1.0558749,0,0.034216791
1.0608751,0,-0.056816127
1.0658751,0,0.04058205
1.071875,0,-0.020480596
1.075875,0,0.0076378803
1.080875,0,0.02264973
1.086875,0,-0.0085994182
1.090875,0,0.027081737
1.096875,0,-0.0024871954
1.100875,0,0.0057182568
1.105875,0,-0.014199551
1.1118751,0,0.012126905
1.115875,0,-0.018745853
1.121875,0,0.0036294523
1.125875,0,-0.01260758
1.131875,0,-0.011284666
1.135375,0,-0.13145275
1.140375,0,0.064522102
1.145375,0,0.022232587
1.150375,0,-0.068092003
1.155375,0,0.11402125
1.160375,0,-0.22941786
1.165375,0,0.081862278
1.170375,0,-0.00090905221
1.175375,0,0.032938398
1.180375,0,0.050900988
1.185375,0,0.019583421
1.190375,0,0.0011637462
1.196375,0,0.05147117
1.200375,0,-0.0030337845
1.206375,0,0.020893537
1.210375,0,0.00080203562
1.2153749,0,-0.018077303
1.220875,0,-0.010038831
1.225875,0,0.0030997156
1.2318749,0,-0.033250637
1.235875,0,0.0033774502
1.2418751,0,-0.021793526
1.245875,0,-0.0065085324
1.251875,0,-0.020906629
1.255875,0,0.013288501
1.260875,0,0.029203214
1.265875,0,-0.037092764
1.270875,0,0.036255211
1.275875,0,-0.15536132
1.280875,0,0.059888434
1.285875,0,-0.047788195
1.290875,0,0.035748709
1.296875,0,-0.025306392
1.3008749,0,0.034178905
1.3058749,0,-0.011353938
1.3108751,0,0.051416535
1.3158751,0,0.0066050682
1.321875,0,0.025321383
1.325875,0,0.013408289
1.331875,0,0.0098347031
1.335375,0,-0.0041029318
1.3403749,0,-0.040947568
1.3453749,0,0.011350286
1.3503751,0,0.020519624
1.356375,0,-0.017248796
1.360375,0,0.029262926
1.366375,0,-0.023099754
1.370375,0,0.0097046904
1.376375,0,4.1230811E-0005
1.380375,0,-0.15380751
1.385375,0,0.023804791
1.390375,0,-0.092348024
1.395375,0,0.054022171
1.400375,0,0.0051547689
1.4063751,0,-0.020010713
1.410375,0,0.025331246
1.416375,0,-0.029169347
1.420375,0,0.054469593
1.425375,0,0.0045676483
1.431375,0,0.01313529
1.435375,0,0.0090517793
1.441375,0,0.0086792521
1.445375,0,0.0049414979
1.450375,0,0.013207302
1.455375,0,0.014734308
1.460875,0,-0.0026772958
1.465875,0,-0.084794492
1.470875,0,0.040543985
1.475875,0,-0.019491006
1.480875,0,0.00052816293
1.485875,0,0.02502566
1.490875,0,-0.015144648
1.496875,0,0.030601267
1.500875,0,-0.031410139
1.506875,0,-0.004222834
1.510875,0,-0.024147578
1.515875,0,-0.0031686325
1.521875,0,-0.0029092482
1.525875,0,0.012206306
1.531875,0,-0.021364316
1.535875,0,0.042484816
1.540875,0,-0.010769024
1.546875,0,-0.0221554
1.5508749,0,0.01864714
1.556875,0,-0.027510559
1.5608751,0,0.014549894
1.566875,0,-0.010306209
1.570375,0,-0.094318949
1.575375,0,-0.00089511275
1.580375,0,0.038439501
1.585375,0,0.023472575
1.5903749,0,0.0041157631
1.596375,0,0.017636823
1.6003751,0,0.00023741816
1.606375,0,0.017166438
1.610375,0,0.0066624754
1.615375,0,-0.0037299718
1.620875,0,-0.001758124
1.625875,0,0.00039721272
1.630875,0,-0.013761726
1.636875,0,-0.014645073
1.640875,0,0.014428345
1.646875,0,0.008077994
1.650875,0,-0.00076637248
1.655875,0,-0.0053349733
1.661875,0,0.011646412
1.665875,0,-0.013976921
1.671875,0,-0.014596633
1.6758749,0,-0.0065892143
1.6808749,0,-0.0021740953
1.686875,0,-0.012883293
1.6908751,0,0.005558107
1.696875,0,-0.037424564
1.700875,0,0.05526273
1.705875,0,0.003118983
1.711875,0,0.0060204193
1.715875,0,0.0014311431
1.721875,0,0.0079189371
1.725875,0,-0.045774311
1.730875,0,0.014083739
1.735875,0,-0.0025881736
1.740875,0,0.030117121
1.746875,0,0.019329339
1.750875,0,-0.013127559
1.755875,0,0.007125129
1.761875,0,0.011646293
1.765875,0,-0.0052050566
1.771875,0,-0.013664981
1.775875,0,0.0054889098
1.780875,0,-0.0032609985
1.785875,0,-0.0033839403
1.790875,0,-0.0082987435
1.796875,0,-0.020055676
1.8008749,0,-0.040932864
1.8058749,0,-0.021739345
1.8108751,0,-0.0087628579
1.8158751,0,-0.0064372262
1.821875,0,0.0035033857
1.825875,0,-0.021030704
1.830875,0,-0.02520874
1.835875,0,0.051626652
1.840875,0,-0.05337318
1.846875,0,-0.030105369
1.850875,0,0.010969865
1.8568749,0,-0.0054160319
1.860875,0,-0.0064071352
1.865875,0,0.00039569315
1.870875,0,0.0044475021
1.875875,0,0.012677493
1.881875,0,-0.0028048246
1.885875,0,-0.026691694
1.890875,0,0.016938515
1.895875,0,0.01258098
1.900875,0,-0.0061674723
1.906875,0,0.0062934007
1.910875,0,0.011529914
1.915875,0,0.013179503
1.920875,0,0.0038101792
1.9258749,0,-0.00090796029
1.931875,0,-0.0011506167
1.9358751,0,0.031072089
1.9408751,0,0.0097883279
1.945875,0,0.010118607
1.950875,0,-0.017025672
1.956875,0,-0.013913613
1.960875,0,0.036045037
1.965875,0,-0.020133888
1.9703749,0,-0.0076795616
1.9753751,0,0.0274572
1.9803751,0,0.0061311354
1.985375,0,-0.019494874
1.991375,0,-0.018449903
1.995375,0,0.0057045105
2.001375,0,-0.041184492
2.0053749,0,-0.0029859978
2.010375,0,-0.0003820977
2.0163751,0,0.009048745
2.020375,0,-0.0047595319
2.0263751,0,-0.010262859
2.030375,0,-0.017174745
2.0353751,0,0.0089258086
2.0413749,0,0.018449528
2.0453751,0,-0.0019642939
2.0513749,0,0.025146456
2.0553751,0,0.0088416636
2.060375,0,0.0080306437
2.0653751,0,0.0097247437
2.070375,0,-0.0070486777
2.076375,0,0.0076625813
2.080375,0,0.0040677954
2.0853751,0,0.00037020238
2.0908749,0,-0.002308863
2.095875,0,0.014549758
2.1008749,0,0.0040374692
2.1068749,0,-0.015663801
2.1108749,0,0.0027085152
2.1168749,0,0.02222464
2.1208749,0,-0.077458262
2.125875,0,-0.00094374933
2.1308751,0,-0.008325275
2.135875,0,0.010574401
2.141875,0,0.00055651541
2.145875,0,-0.011689091
2.1508751,0,0.0080826376
2.1568749,0,0.017410962
2.1608751,0,-0.0029197645
2.1668749,0,-0.014085161
2.1708751,0,-0.0078692455
2.1758749,0,0.016658671
2.181875,0,-0.003406802
2.1858749,0,0.013536519
2.191875,0,-0.010161386
2.1958749,0,-0.007716726
2.200875,0,-0.0039054786
2.2068751,0,-0.023181634
2.210875,0,0.019510102
2.2168751,0,-0.01197468
2.220875,0,-0.053786114
2.2258749,0,0.0055150003
2.230875,0,-0.016056431
2.2358749,0,0.020942582
2.2418749,0,0.02728679
2.2458749,0,0.0092529459
2.250875,0,-0.0048712944
2.256875,0,-0.048856191
2.260875,0,0.013275875
2.266875,0,0.0045674271
2.270875,0,-0.0012983179
2.2758751,0,0.0040641148
2.280875,0,0.0063623488
2.2858751,0,0.0043500396
2.2918749,0,0.007510318
2.2958751,0,0.023282081
2.3008749,0,0.0021878511
2.3058751,0,0.041878469
2.3108749,0,0.016094901
2.316875,0,-0.021292645
2.3208749,0,0.022022132
2.326875,0,0.029617768
2.3308749,0,0.008595326
2.335875,0,0.0026812966
2.3418751,0,-0.0039739665
2.345875,0,0.019738259
2.3508749,0,0.0097571081
2.355875,0,0.0064359773
2.3608749,0,-0.0019302953
2.3668749,0,0.0016672637
2.3708749,0,-0.0044317334
2.3768749,0,0.012458911
2.3808751,0,-0.020779803
2.385875,0,-0.0059382454
2.391875,0,0.0059209946
2.395875,0,-0.003929331
2.401875,0,0.00080740108
2.405875,0,-0.00091706181
2.4103751,0,0.0034815164
2.415375,0,-0.016739538
2.4203751,0,-0.0085854586
2.4263749,0,-0.00056852266
2.4303751,0,0.0035993413
2.4363749,0,-0.0045590932
2.4403751,0,-0.084762454
2.445375,0,0.0022519652
2.450875,0,0.014025256
2.4558749,0,0.016031561
2.460875,0,0.019527622
2.4668751,0,-0.00024253514
2.470875,0,0.012588482
2.4758749,0,-0.021872984
2.480875,0,0.00852858
2.4858749,0,-0.0057313736
2.4918749,0,0.0031175879
2.4958749,0,-0.0023358995
2.5018749,0,0.068825126
2.5058751,0,-0.015405537
2.510875,0,-0.0089373952
2.516875,0,-0.022658722
2.520875,0,0.0070540821
2.526875,0,-0.015263559
2.530875,0,0.010024733
2.5358751,0,-0.039057039
2.5418749,0,-0.0048305001
2.5458751,0,-0.013475847
2.5518751,0,-0.007132093
2.5558751,0,-0.0021406335
2.5608749,0,-0.00079067849
2.5658751,0,0.0046070563
2.5708749,0,0.011244187
2.576875,0,0.0066131558
2.5808749,0,0.015600841
2.585875,0,0.015877435
2.5908749,0,0.013604705
2.595875,0,0.01516137
2.6018751,0,0.015764406
2.605875,0,-0.0018012618
2.6108749,0,0.025478475
2.6168749,0,0.009342188
2.6208749,0,0.00069401105
2.6268749,0,0.010325691
2.6308751,0,-0.02431123
2.6368749,0,0.029530525
2.6408751,0,-0.0067399452
2.645875,0,-0.0088448534
2.651875,0,-0.025199631
2.655875,0,-0.004286442
2.661875,0,0.0076181279
2.665875,0,-0.02810647
2.6708751,0,-0.0046906956
2.6768751,0,-0.02561041
2.6808751,0,0.0018047538
2.6868751,0,0.013478681
2.6908751,0,-0.0052520442
2.695375,0,-0.0057708225
2.7003751,0,-0.0042803092
2.705375,0,0.0080762953
2.711375,0,0.00043811477
2.7153749,0,0.0037491207
