X a:y(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (0 0 1) of body Car body relative to Base0  SC Base0  projection Z,
0,0,-15.516794
0.0053750002,0,0.054010406
0.010375,0,0.19096717
0.015375,0,0.22175246
0.020375,0,-0.14802222
0.025125001,0,-7.3584347
0.030375,0,0.26756147
0.035374999,0,2.7935157
0.040125001,0,0.24406603
0.045375001,0,-0.20110773
0.050875001,0,-0.14931387
0.055125002,0,-9.5986156
0.060375001,0,0.074035801
0.065875001,0,0.1627578
0.070124999,0,0.74238062
0.075125001,0,-0.20857228
0.080124997,0,-2.202642
0.085124999,0,0.075799242
0.090625003,0,0.27297291
0.095624998,0,0.13468735
0.100625,0,0.4005813
0.105625,0,0.10624091
0.110125,0,2.2413704
0.115125,0,0.17741668
0.120125,0,0.09762124
0.12512501,0,0.061566841
0.130125,0,0.218696
0.135125,0,2.4568222
0.14012501,0,0.063699834
0.145125,0,-0.14749114
0.15062501,0,-0.1723755
0.155625,0,-0.13323279
0.160625,0,-0.2962254
0.16562501,0,-0.28443959
0.17012499,0,-3.9194663
0.175375,0,-0.068596363
0.180875,0,-0.039595451
0.185875,0,0.10309733
0.190125,0,2.0199959
0.195375,0,0.049085118
0.20037501,0,0.20695275
0.205375,0,-0.44251907
0.210125,0,0.27014947
0.21512499,0,0.25469813
0.220125,0,0.4547098
0.225125,0,0.4406662
0.230125,0,0.28482962
0.23612501,0,0.3126764
0.240125,0,0.40067849
0.245625,0,0.28403771
0.25062501,0,0.17606811
0.25562501,0,0.074437924
0.260625,0,0.087314129
0.265625,0,-0.037735783
0.270625,0,-0.075648755
0.27662501,0,-0.11638518
0.28062499,0,-0.16669212
0.28512499,0,-1.7449236
0.29037499,0,-0.099016726
0.29537499,0,-0.06100506
0.30037501,0,-0.071020238
0.30537501,0,-0.010906613
0.31137499,0,-0.0076060835
0.315375,0,0.052326921
0.32137501,0,0.085797139
0.32537499,0,0.064595312
0.33037499,0,0.040585618
0.335875,0,0.1700967
0.340875,0,0.068505555
0.34587499,0,0.30996859
0.35087499,0,0.14239804
0.356875,0,0.028331283
0.36087501,0,0.073603615
0.36587501,0,0.0078703845
0.37187499,0,-0.024729013
0.375875,0,-0.023873417
0.38187501,0,-0.07332278
0.38587499,0,-0.074993737
0.39087501,0,-0.081499226
0.395125,0,-3.5094192
0.40037501,0,0.063525125
0.405375,0,0.14159553
0.410375,0,0.17435534
0.41537499,0,0.23037888
0.42037499,0,0.21980593
0.42587501,0,0.15399227
0.430875,0,0.10184333
0.435875,0,0.13039425
0.44012499,0,0.10931797
0.44512501,0,0.1821433
0.45012501,0,0.27173731
0.455125,0,0.20487487
0.46112499,0,0.19266766
0.46512499,0,0.18429708
0.47112501,0,0.14606355
0.47512501,0,0.14730525
0.481125,0,0.070317172
0.48512501,0,0.033822939
0.49112499,0,-0.031174179
0.495125,0,-0.03456958
0.50012499,0,-0.10414009
0.50512499,0,-0.0860103
0.51012498,0,-0.12664609
0.51612502,0,-0.14603676
0.52012497,0,-0.53809339
0.52512503,0,-0.18580239
0.53012502,0,-0.1116515
0.53512502,0,-0.073532753
0.54012501,0,-0.15293981
0.54512501,0,-0.027927861
0.550125,0,-0.036355454
0.55562502,0,0.08648067
0.56062502,0,0.23627804
0.56562501,0,0.16960643
0.57062501,0,0.25704992
0.575625,0,0.31570119
0.580625,0,0.25500143
0.58662498,0,0.24511391
0.59062499,0,0.23114368
0.59662497,0,0.19040054
0.60062498,0,0.1655357
0.60562497,0,0.097444199
0.61062503,0,0.07848496
0.615125,0,0.028356729
0.620125,0,-0.029871553
0.62512499,0,-0.77671558
0.63062501,0,0.02005497
0.635625,0,-0.0021236863
0.640625,0,0.0019442373
0.64512497,0,-0.015669523
0.65062499,0,-0.063790381
0.65512502,0,-1.8443618
0.66062498,0,0.051933177
0.66562498,0,0.044922665
0.67012501,0,0.27670583
0.675125,0,0.064956672
0.680125,0,0.032458182
0.68612498,0,0.037521977
0.69012499,0,0.061921548
0.69562501,0,0.10458845
0.700625,0,0.15282132
0.70662498,0,0.114456
0.71062499,0,0.15752535
0.71562499,0,0.14690134
0.72062498,0,-0.20388056
0.72562498,0,0.16155614
0.73062497,0,0.038230844
0.73512501,0,-0.46926549
0.740125,0,0.018612843
0.745125,0,0.084008873
0.75012499,0,0.12984896
0.75612497,0,0.029054828
0.76012498,0,0.084112257
0.76512498,0,0.011304452
0.77012497,0,-0.81650275
0.77562499,0,0.073186234
0.78062499,0,0.03213061
0.78562498,0,0.023155019
0.79162502,0,0.04546959
0.79562497,0,0.0062175933
0.800125,0,-0.1395085
0.805125,0,0.060681716
0.81012499,0,0.066063538
0.81612498,0,0.061766755
0.82012498,0,0.06799712
0.82512498,0,0.027030788
0.83012497,0,0.095529035
0.83512503,0,0.084856734
0.84112501,0,0.084892243
0.84512502,0,-0.20957495
0.85012501,0,0.095171288
0.856125,0,0.096325494
0.86012501,0,1.234822E-0005
0.865125,0,0.084945604
0.870125,0,0.33126858
0.87512499,0,0.1401328
0.88012499,0,0.066639297
0.885625,0,0.071462035
0.890625,0,0.052603733
0.895625,0,0.0043131653
0.90162498,0,0.055365361
0.90562499,0,-0.034674946
0.91062498,0,0.047144845
0.91562498,0,0.16384196
0.92062497,0,0.035311282
0.92562503,0,0.04627651
0.93062502,0,0.063305035
0.93562502,0,-0.10147442
0.94062501,0,0.12579457
0.94562501,0,0.0037859136
0.950625,0,-0.015517667
0.95512497,0,0.028793525
0.96012503,0,0.0024083222
0.96512502,0,0.034608439
0.97012502,0,-0.0041699037
0.976125,0,0.016913014
0.98012501,0,0.0096495114
0.98612499,0,0.015612142
0.990125,0,0.026405115
0.99562502,0,0.012602584
1.000625,0,-0.018696323
1.005625,0,0.00050766568
1.0116251,0,-0.021837959
1.015625,0,-0.0011669226
1.021625,0,-0.030213134
1.025625,0,-0.04199433
1.030625,0,-0.070141226
1.035125,0,0.093648143
1.040125,0,-0.1107356
1.045125,0,0.030873643
1.050125,0,-0.16281901
1.055125,0,0.035598781
1.060125,0,-0.036512285
1.065125,0,0.026213828
1.071125,0,0.016911427
1.075125,0,0.040088519
1.080125,0,0.082184307
1.085125,0,0.0096036699
1.090625,0,0.011460832
1.095625,0,0.042728551
1.101625,0,0.010871264
1.105625,0,0.040489689
1.110625,0,0.045306012
1.115625,0,-0.18515944
1.120625,0,0.06428165
1.125625,0,-0.060000163
1.130625,0,-0.046272378
1.135625,0,0.088814154
1.140625,0,-0.098353058
1.145625,0,0.056637745
1.150625,0,0.0088430466
1.155625,0,-0.046682652
1.161625,0,0.023404937
1.165625,0,-0.062961474
1.171625,0,0.045580182
1.175625,0,-0.022068098
1.180625,0,0.014598712
1.186625,0,-0.017982148
1.190625,0,0.014572602
1.196625,0,0.0048528751
1.2006249,0,-0.050563939
1.2056251,0,0.018731186
1.2106251,0,-0.042064857
1.215625,0,0.062909856
1.220625,0,-0.02611159
1.225625,0,-0.001902112
1.231625,0,0.036518097
1.235625,0,-0.00088027638
1.240625,0,-0.14028358
1.245625,0,0.085658796
1.250625,0,-0.091376387
1.255625,0,0.031603988
1.260625,0,0.045572009
1.265625,0,-0.024409309
1.270625,0,0.03307965
1.276625,0,-0.0022975616
1.280625,0,0.03870577
1.286625,0,-0.021282159
1.290625,0,0.045791652
1.295125,0,0.014164999
1.300125,0,0.02305725
1.305125,0,-0.0015830882
1.310125,0,-0.0012722031
1.316125,0,0.011509441
1.320125,0,-0.0091436915
1.325125,0,-0.04822458
1.330125,0,0.0027062546
1.335125,0,0.012332533
1.340125,0,-0.13091467
1.345125,0,0.017355116
1.350125,0,-0.0095945057
1.355125,0,0.01169176
1.3601249,0,0.010406797
1.3651249,0,-0.042704791
1.371125,0,0.014774622
1.3751251,0,0.0022702515
1.381125,0,0.02453192
1.385125,0,-0.0036264476
1.391125,0,0.0092633078
1.395125,0,-0.0036903294
1.400125,0,-0.048252251
1.405625,0,-0.011108806
1.410625,0,0.033474751
1.415625,0,-0.0056730108
1.421625,0,0.017752854
1.425625,0,0.0020740847
1.431625,0,0.017520437
1.435625,0,-0.053601049
1.440625,0,0.044625442
1.4456249,0,-0.012411751
1.451625,0,-0.043533344
1.4556251,0,0.014378319
1.4606251,0,-0.035969019
1.465625,0,0.021430159
1.470625,0,-0.0059505394
1.476625,0,-0.048354313
1.480625,0,0.013531252
1.485625,0,-0.056133721
1.490625,0,0.02733073
1.495625,0,-0.018929677
1.5016249,0,0.0091562085
1.505625,0,-0.025010487
1.510625,0,-0.043007348
