X a:y(Car body) - Acceleration of point (6 0 1) of body Car body relative to Base0  SC Base0  projection Y, a:z(Car body) - Acceleration of point (6 0 1) of body Car body relative to Base0  SC Base0  projection Z,
0,0,-53.025604
0.0053750002,0,0.30581492
0.010375,0,0.88194883
0.015375,0,0.23312707
0.020375,0,0.079904556
0.025125001,0,-24.999695
0.030375,0,0.35864693
0.035374999,0,9.2212934
0.040125001,0,0.30184436
0.045375001,0,-0.12584887
0.050875001,0,-0.79726076
0.055125002,0,-32.673573
0.060375001,0,-0.036745768
0.065875001,0,0.49476391
0.070124999,0,2.2263088
0.075125001,0,0.092579566
0.080124997,0,-7.9381118
0.085124999,0,-0.0080857063
0.090625003,0,0.50996238
0.095624998,0,1.1144271
0.100625,0,0.94146395
0.105625,0,1.1131874
0.110125,0,7.507863
0.115125,0,0.46085024
0.120125,0,0.28974399
0.12512501,0,0.50711393
0.130125,0,0.57456028
0.135125,0,9.094655
0.14012501,0,0.055442788
0.145125,0,-0.0024029557
0.15062501,0,-0.28642207
0.155625,0,-0.59613514
0.160625,0,-0.57431179
0.16562501,0,-0.83061844
0.17012499,0,-13.713981
0.175375,0,-0.45632213
0.180875,0,0.049366135
0.185875,0,0.13858254
0.190125,0,6.3851967
0.195375,0,0.096745871
0.20037501,0,-0.23036337
0.205375,0,-3.3980455
0.210125,0,0.079015747
0.21512499,0,0.75204337
0.220125,0,0.83760816
0.225125,0,1.0884776
0.230125,0,1.0451219
0.23612501,0,0.93903041
0.240125,0,1.5299541
0.245625,0,0.75336313
0.25062501,0,0.69966036
0.25562501,0,0.61056685
0.260625,0,0.36336473
0.265625,0,0.36500916
0.270625,0,0.25305763
0.27662501,0,0.13027447
0.28062499,0,0.047343913
0.28512499,0,-5.1202178
0.29037499,0,0.082452916
0.29537499,0,0.054738794
0.30037501,0,0.026081262
0.30537501,0,-0.11138174
0.31137499,0,-0.13093673
0.315375,0,-0.19517761
0.32137501,0,-0.16021919
0.32537499,0,-0.050423909
0.33037499,0,0.052262142
0.335875,0,-0.070693403
0.340875,0,0.11722073
0.34587499,0,0.78859001
0.35087499,0,-0.11834151
0.356875,0,-0.076188877
0.36087501,0,-0.23344584
0.36587501,0,-0.19271053
0.37187499,0,-0.19072495
0.375875,0,-0.19112033
0.38187501,0,-0.095212817
0.38587499,0,-0.082658708
0.39087501,0,-0.072055236
0.395125,0,-11.879276
0.40037501,0,0.4647083
0.405375,0,0.70354474
0.410375,0,0.83730656
0.41537499,0,0.84432197
0.42037499,0,0.70912665
0.42587501,0,0.50427699
0.430875,0,0.53629529
0.435875,0,0.45484468
0.44012499,0,0.75423563
0.44512501,0,0.98698252
0.45012501,0,0.98233128
0.455125,0,1.054445
0.46112499,0,0.91808242
0.46512499,0,0.75894749
0.47112501,0,0.5606522
0.47512501,0,0.41942808
0.481125,0,0.11609878
0.48512501,0,-0.03095394
0.49112499,0,-0.15434363
0.495125,0,-0.14030977
0.50012499,0,-0.20006214
0.50512499,0,-0.22084449
0.51012498,0,-0.2559866
0.51612502,0,-0.40728515
0.52012497,0,0.17980646
0.52512503,0,-0.55557668
0.53012502,0,-0.74324423
0.53512502,0,-0.81020999
0.54012501,0,-0.63307261
0.54512501,0,-0.68791211
0.550125,0,-0.19357602
0.55562502,0,0.17570734
0.56062502,0,0.30819511
0.56562501,0,0.64559627
0.57062501,0,0.76101065
0.575625,0,0.60855925
0.580625,0,0.73376346
0.58662498,0,0.7104643
0.59062499,0,0.70969868
0.59662497,0,0.74950349
0.60062498,0,0.72230595
0.60562497,0,0.64956623
0.61062503,0,0.50579822
0.615125,0,0.74060154
0.620125,0,0.65110844
0.62512499,0,-2.0984337
0.63062501,0,0.4856694
0.635625,0,0.40163612
0.640625,0,0.24938039
0.64512497,0,0.065662332
0.65062499,0,-0.10663968
0.65512502,0,-6.3263273
0.66062498,0,0.0099798869
0.66562498,0,0.15756314
0.67012501,0,0.6628049
0.675125,0,0.013052662
0.680125,0,-0.014474234
0.68512499,0,-0.13632756
0.69012499,0,-0.12248095
0.69562501,0,-0.040956393
0.700625,0,-0.074603394
0.70662498,0,-0.0089985766
0.71062499,0,0.01519021
0.71562499,0,0.087389432
0.72062498,0,0.70596188
0.72562498,0,0.10249519
0.73012501,0,-2.7360566
0.73512501,0,0.197515
0.740125,0,0.47304752
0.745125,0,0.22900552
0.75012499,0,0.35863447
0.75612497,0,0.24638242
0.76012498,0,0.29544103
0.76512498,0,-1.4603956
0.770625,0,0.32542935
0.77562499,0,0.45707247
0.78162497,0,0.47219524
0.78562498,0,0.40546522
0.79062498,0,-1.4715874
0.79562497,0,0.34312737
0.80062503,0,0.34802783
0.80662501,0,0.22676991
0.81062502,0,-0.80035257
0.81562501,0,0.21237761
0.82162499,0,0.20893963
0.825625,0,0.23309429
0.830625,0,-0.95043397
0.83562499,0,0.2151417
0.84162498,0,0.21943353
0.84562498,0,-1.0932034
0.85062498,0,0.12367872
0.85662502,0,0.1080505
0.86062503,0,-0.32088563
0.86562502,0,0.044485357
0.87062502,0,-0.30662686
0.87562501,0,0.073120765
0.88062501,0,0.11256306
0.885625,0,0.049855601
0.890625,0,-0.062809713
0.895625,0,0.22952031
0.90062499,0,-0.086378194
0.90562499,0,0.7490207
0.91062498,0,-0.27687091
0.91562498,0,0.36936367
0.92162502,0,-0.28307867
0.92562503,0,0.35713023
0.93062502,0,-0.037325956
0.93562502,0,-0.050593313
0.94012499,0,0.53606176
0.94512498,0,-0.033340327
0.95012498,0,0.03264451
0.95512497,0,0.27851173
0.96112502,0,-0.0024416482
0.96512502,0,0.10983697
0.97112501,0,-0.071505442
0.97512501,0,-0.061035734
0.98012501,0,0.074217111
0.98562503,0,-0.096633106
0.99062502,0,-0.063784748
0.99562502,0,0.011040088
1.0016249,0,-0.12635662
1.005625,0,0.028459916
1.0116251,0,-0.051884644
1.015625,0,-0.020168371
1.020625,0,-0.050462037
1.025625,0,-0.089851588
1.031625,0,-0.10357019
1.035625,0,-0.07123144
1.041625,0,-0.070948355
1.045625,0,0.19748482
1.050625,0,-0.089336559
1.055625,0,0.049880091
1.060625,0,0.26312754
1.065625,0,-0.10169709
1.0706249,0,0.039981507
1.0756249,0,0.14028704
1.081625,0,-0.016370574
1.0856251,0,0.16022408
1.091625,0,-0.022756595
1.095625,0,0.068465866
1.100625,0,0.36412814
1.105625,0,-0.064527474
1.110625,0,0.14149408
1.115625,0,0.11905193
1.1201251,0,-0.25378123
1.1251251,0,0.039226439
1.130125,0,0.073041596
1.135125,0,-0.072275363
1.141125,0,-0.017025067
1.145125,0,-0.10772192
1.151125,0,-0.038478613
1.155125,0,-0.056223154
1.1611249,0,-0.054825664
1.165125,0,-0.042669047
1.1711251,0,-0.061023757
1.175125,0,-0.60367763
1.180625,0,-0.07410983
1.185625,0,-0.1444248
1.190625,0,0.103246
1.1956249,0,-0.092493072
1.201625,0,0.089861788
1.2056251,0,-0.044526506
1.211625,0,0.038074926
1.215625,0,-0.038738821
1.220125,0,0.10082009
1.225125,0,-0.0063579916
1.230125,0,0.056336392
1.2351249,0,0.26607102
1.2401249,0,-0.16672276
1.2451251,0,0.055261996
1.2501251,0,-0.021234369
1.256125,0,0.080093838
1.260125,0,-0.043132715
1.266125,0,0.029450236
1.270125,0,0.0084513379
1.275125,0,-0.094114818
1.280125,0,-0.072030082
1.2861249,0,0.11052281
1.290125,0,-0.046894308
1.2961251,0,-0.019216089
1.300125,0,-0.038186356
1.305125,0,-0.025640372
1.311125,0,0.019467831
1.315125,0,-0.096822776
1.320125,0,-0.031698693
1.325125,0,-0.044261731
1.330125,0,-0.04585474
1.335125,0,0.012702304
1.340125,0,-0.064800464
1.345125,0,-0.025779976
1.351125,0,-0.022207016
1.355125,0,-0.0027481744
1.361125,0,-0.016583955
1.3651249,0,-0.09058965
1.3701251,0,-0.022182027
1.376125,0,0.037223704
1.380125,0,0.0025424822
1.386125,0,0.030619295
1.390125,0,0.032836732
1.396125,0,0.043603931
1.400125,0,0.17045915
1.405125,0,-0.04160155
1.410625,0,-0.080502063
1.415625,0,0.11759018
1.420625,0,0.02348678
1.425625,0,0.012071314
1.431625,0,0.024794402
1.435625,0,0.026892759
1.441625,0,0.0042334227
1.4456249,0,-0.0070412229
1.451625,0,-0.0023555411
1.4556251,0,-0.0032500071
1.4606251,0,-0.038588617
1.466625,0,-0.020879472
1.470625,0,-0.03320419
1.476625,0,-0.043604568
1.480625,0,-0.049461696
1.486625,0,-0.0088265734
1.490625,0,-0.067421809
1.495625,0,-0.029583238
1.500625,0,-0.020680793
1.505625,0,-0.015590266
1.5116251,0,-0.050235745
1.515625,0,-0.015874658
1.520625,0,-0.0013569671
1.525625,0,-0.013941603
1.530625,0,0.0056600142
1.536625,0,0.025079904
1.540625,0,-0.015278112
1.546625,0,0.067275696
1.550125,0,0.029581657
1.555125,0,0.055206168
1.560125,0,0.052893046
1.565125,0,0.035779685
1.571125,0,0.027070584
1.575125,0,0.03630263
1.581125,0,0.032059878
1.585125,0,0.025342654
1.590125,0,0.01925143
1.595625,0,0.022608336
1.600625,0,0.011498377
1.605625,0,0.0095575908
1.611625,0,0.010674941
1.615625,0,-0.0042456207
1.6216249,0,-0.019206338
1.625625,0,-0.014009959
1.630125,0,-0.023552805
1.635125,0,0.0085822353
1.640125,0,-0.044263203
1.646125,0,-0.040160645
1.650125,0,-0.020469934
1.6561249,0,-0.011255508
1.660125,0,0.014163462
1.665125,0,0.040857006
1.670125,0,0.0055062613
1.675125,0,-0.057357848
1.681125,0,-0.039102729
1.685125,0,-0.058605902
1.690125,0,0.016006712
1.695125,0,0.0065674097
1.700125,0,0.015947778
1.706125,0,0.018580936
1.710125,0,0.065386862
1.715125,0,0.056249686
1.720125,0,0.034529787
1.725125,0,0.036058873
1.731125,0,0.03119782
1.7351249,0,-0.029951517
1.7401249,0,0.065340243
1.7451251,0,0.021516591
1.7501251,0,0.050860967
1.756125,0,0.0093563497
1.760125,0,0.01699907
1.766125,0,0.0029784802
1.770125,0,-0.012849373
1.775625,0,-0.047126226
1.780625,0,-0.05350646
1.786625,0,-0.026081888
1.790625,0,-0.055983029
1.796625,0,-0.063575409
1.800625,0,0.032833263
1.805625,0,-0.099864081
1.811625,0,-0.026616549
1.815625,0,-0.005784106
1.821625,0,-0.075185619
1.8256249,0,-0.023680666
1.8306251,0,-0.010340993
1.836625,0,-0.010309686
1.840625,0,-0.005246446
1.846625,0,-0.015883096
1.850625,0,-0.074105993
1.855625,0,0.056586422
1.861625,0,-0.00018580524
1.865625,0,0.022577612
1.8716249,0,-0.019726736
1.875625,0,0.031059623
1.880625,0,0.027845509
1.885625,0,0.019434731
1.890625,0,0.017858863
1.896625,0,-0.014375755
1.900625,0,-0.085785151
1.905625,0,0.0063825063
1.910625,0,0.00099201396
1.915625,0,-0.0095797824
1.921625,0,-0.021674225
1.925625,0,0.0074960175
1.930625,0,-0.040029757
1.935625,0,0.00056205847
1.940625,0,-0.027477309
1.946625,0,-0.00064257067
1.9506249,0,-0.037919536
1.956625,0,-0.04095839
1.9606251,0,0.015331239
1.965625,0,-0.023241183
1.970625,0,-0.030585051
1.975625,0,-0.019833708
1.981625,0,-0.031392772
1.985625,0,-0.021741657
1.990625,0,-0.013295482
1.995625,0,-0.0017447609
2.0006249,0,-0.0043092771
2.0066249,0,0.014513481
2.0106249,0,-0.0058795866
2.015625,0,0.016361471
2.0206251,0,0.012819386
2.025625,0,0.011808113
2.031625,0,0.039098743
2.035625,0,0.027168324
2.0406251,0,0.02992223
2.045625,0,0.014252447
2.0506251,0,0.016700523
2.0566249,0,0.026676947
