XTime (sec) (Time  sec)a:y(Car body) a:y(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection Y (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:z(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection Z (a:y(Car body)),Time (sec) (Time  sec)a:y(Car body) a:x(Car body) - Acceleration of point (0 0 0) of body Car body relative to Base0  SC Base0  projection X (a:y(Car body)),
0,0,-15.516794,-6.3283362
0.0053750002,0,0.052107662,0.063916512
0.010375,0,0.21889101,0.17285964
0.015375,0,0.2242756,0.014116278
0.020375,0,-0.059526756,-0.00056242512
0.025125001,0,-7.34728,-3.0175724
0.030375,0,0.23295709,-0.0013752652
0.035374999,0,2.3075507,0.95220268
0.040125001,0,0.20433584,-0.13357075
0.045125,0,-0.1670811,-0.099319994
0.050124999,0,-0.14540233,-0.15869752
0.055125002,0,-6.8555613,-2.8526592
0.060125001,0,0.042755809,-0.022066236
0.065125003,0,0.20399028,0.10224789
0.070124999,0,5.2312026,2.1812556
0.075374998,0,0.082820229,0.050456874
0.080375001,0,-0.16017762,0.018406749
0.085124999,0,-0.92101765,-0.43775088
0.090125002,0,-0.060643062,0.01074989
0.095124997,0,0.26030818,-0.024231194
0.100125,0,0.34475869,0.024812248
0.105125,0,0.63170207,0.15258999
0.110125,0,0.13633536,-0.0041507217
0.115625,0,-0.14016782,0.074212573
0.120125,0,-5.0066166,-1.983573
0.125375,0,0.040519722,0.13697439
0.13087501,0,0.28088471,0.13477923
0.135875,0,0.079238422,0.22139172
0.14012501,0,0.19162333,0.045674667
0.145125,0,0.046579588,-0.051464338
0.150125,0,-0.12674832,-0.074768685
0.15512501,0,-0.55969733,-0.35013941
0.160125,0,0.17237298,-0.018554831
0.16562501,0,0.25354469,0.063167691
0.170625,0,0.25320068,0.12928155
0.176625,0,0.26970756,0.16793005
0.18062501,0,0.20361874,0.1978887
0.18512499,0,2.6915751,0.9464516
0.190125,0,0.0090351384,0.089158468
0.195125,0,0.33016753,-0.15811579
0.20012499,0,-0.066655442,-0.06889385
0.205625,0,-0.054727703,-0.1678884
0.210125,0,-0.29206023,-0.15232155
0.21512499,0,0.024292009,-0.073951043
0.220625,0,-0.039330076,0.053827673
0.22562499,0,0.062382735,0.065201476
0.230625,0,0.010208729,0.10518116
0.235625,0,0.036616873,0.077125914
0.240125,0,0.026106486,-0.0080621559
0.245125,0,0.0023050932,-0.1198718
0.25012499,0,-0.15550791,-0.1397853
0.25512499,0,-0.10949913,-0.20523119
0.26012501,0,-0.075873844,-0.21270221
0.26512501,0,-4.0160718,-1.706242
0.270125,0,0.12613437,0.0034250719
0.275125,0,0.1522938,0.16210997
0.28012499,0,0.18850853,0.24981585
0.28512499,0,0.33039293,0.226082
0.291125,0,0.2870816,0.2146973
0.29512501,0,0.3678126,0.093591802
0.300125,0,0.26320198,0.005277562
0.305125,0,0.15033977,-0.033446353
0.31012499,0,0.22322838,-0.1095061
0.31512499,0,0.090954266,-0.049324479
0.32012501,0,0.086429477,-0.0037379253
0.32512501,0,0.017680109,0.08477138
0.33037499,0,0.013508522,0.20250914
0.33537501,0,0.027874572,0.2746101
0.34037501,0,0.11713394,0.23713496
0.345375,0,0.045993581,0.19635417
0.35137501,0,0.028287606,0.067191526
0.35537499,0,0.04081412,-0.037138067
0.36037499,0,0.021423934,-0.11823164
0.36537501,0,0.95595002,0.16386133
0.37037501,0,-0.10457077,-0.19936225
0.375375,0,-0.11602394,-0.14776915
0.38137501,0,-0.11077518,-0.05029016
0.38537499,0,-0.16713406,0.027173156
0.39012501,0,-2.477222,-0.88143009
0.39537501,0,0.033390574,0.1534933
0.40037501,0,0.11912712,0.15919641
0.405375,0,0.079359792,0.10236832
0.410375,0,0.18735853,-0.027150175
0.41537499,0,0.382649,-0.05721622
0.42087501,0,0.089316107,-0.1919089
0.42587501,0,0.11048508,-0.19138542
0.430875,0,0.13245426,-0.13864702
0.435875,0,0.054908786,-0.022246648
0.44087499,0,-0.27410051,-0.0622341
0.445375,0,0.088189401,0.21546468
0.45037499,0,0.12389483,0.30012044
