XDistance (m) (Distance  m)mm Left rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Right rail  vertical irregularities (mm);Distance (m) (Distance  m)mm Left rail  horizontal irregularities (mm);Distance (m) (Distance  m)mm Right rail  horizontal irregularities (mm);
0;0;0;0;0
0.1;0;0;0;0
0.2;0;0;0;0
0.30000001;0;0;0;0
0.40000001;0;0;0;0
0.5;0;0;0;0
0.60000002;0;0;0;0
0.69999999;0;0;0;0
0.80000001;0;0;0;0
0.89999998;0;0;0;0
1;0;0;0;0
1.1;0;0;0;0
1.2;0;0;0;0
1.3;0;0;0;0
1.4;0;0;0;0
1.5;0;0;0;0
1.6;0;0;0;0
1.7;0;0;0;0
1.8;0;0;0;0
1.9;0;0;0;0
2;0;0;0;0
2.0999999;0;0;0;0
2.2;0;0;0;0
2.3;0;0;0;0
2.4000001;0;0;0;0
2.5;0;0;0;0
2.5999999;0;0;0;0
2.7;0;0;0;0
2.8;0;0;0;0
2.9000001;0;0;0;0
3;0;0;0;0
3.0999999;0;0;0;0
3.2;0;0;0;0
3.3;0;0;0;0
3.4000001;0;0;0;0
3.5;0;0;0;0
3.5999999;0;0;0;0
3.7;0;0;0;0
3.8;0;0;0;0
3.9000001;0;0;0;0
4;0;0;0;0
4.0999999;0;0;0;0
4.1999998;0;0;0;0
4.3000002;0;0;0;0
4.4000001;0;0;0;0
4.5;0;0;0;0
4.5999999;0;0;0;0
4.6999998;0;0;0;0
4.8000002;0;0;0;0
4.9000001;0;0;0;0
5;0;0;0;0
5.0999999;0;0;0;0
5.1999998;0;0;0;0
5.3000002;0;0;0;0
5.4000001;0;0;0;0
5.5;0;0;0;0
5.5999999;0;0;0;0
5.6999998;0;0;0;0
5.8000002;0;0;0;0
5.9000001;0;0;0;0
6;0;0;0;0
6.0999999;0;0;0;0
6.1999998;0;0;0;0
6.3000002;0;0;0;0
6.4000001;0;0;0;0
6.5;0;0;0;0
6.5999999;0;0;0;0
6.6999998;0;0;0;0
6.8000002;0;0;0;0
6.9000001;0;0;0;0
7;0;0;0;0
7.0999999;0;0;0;0
7.1999998;0;0;0;0
7.3000002;0;0;0;0
7.4000001;0;0;0;0
7.5;0;0;0;0
7.5999999;0;0;0;0
7.6999998;0;0;0;0
7.8000002;0;0;0;0
7.9000001;0;0;0;0
8;0;0;0;0
8.1000004;0;0;0;0
8.1999998;0;0;0;0
8.3000002;0;0;0;0
8.3999996;0;0;0;0
8.5;0;0;0;0
8.6000004;0;0;0;0
8.6999998;0;0;0;0
8.8000002;0;0;0;0
8.8999996;0;0;0;0
9;0;0;0;0
9.1000004;0;0;0;0
9.1999998;0;0;0;0
9.3000002;0;0;0;0
9.3999996;0;0;0;0
9.5;0;0;0;0
9.6000004;0;0;0;0
9.6999998;0;0;0;0
9.8000002;0;0;0;0
9.8999996;0;0;0;0
10;0;0;0;0
10.1;-4.08E-05;2.54E-05;-7.81E-05;-0.000106481
10.2;-8.24E-05;5.73E-05;-0.000158793;-0.000214498
10.3;-0.000119771;9.55E-05;-0.000241151;-0.000323887
10.4;-0.000147918;0.000140474;-0.000324224;-0.000434136
10.5;-0.00016295;0.000192845;-0.00040682;-0.000544441
10.6;-0.00016361;0.000252714;-0.000487424;-0.000653844
10.7;-0.000151888;0.00031935;-0.00056437;-0.000761379
10.8;-0.000132626;0.000391092;-0.000636228;-0.000866211
10.9;-0.000112088;0.000465674;-0.000702236;-0.000967705
11;-9.60E-05;0.000540827;-0.000762603;-0.001065465
11.1;-8.74E-05;0.000614886;-0.000818559;-0.001159346
11.2;-8.63E-05;0.000687099;-0.000872113;-0.001249493
11.3;-8.91E-05;0.000757415;-0.0009256;-0.001336417
11.4;-9.08E-05;0.000825762;-0.000981199;-0.001421131
11.5;-8.71E-05;0.000891074;-0.001040569;-0.001505313
11.6;-7.63E-05;0.000950531;-0.001104741;-0.001591458
11.7;-6.03E-05;0.000999461;-0.001174284;-0.001682976
11.8;-4.38E-05;0.001032188;-0.001249666;-0.001784146
11.9;-3.18E-05;0.00104375;-0.001331669;-0.001899892
12;-2.66E-05;0.001032002;-0.001421721;-0.002035311
12.1;-2.52E-05;0.000999385;-0.00152202;-0.002194929
12.2;-1.84E-05;0.000953585;-0.001635453;-0.002381724
12.3;8.14E-06;0.000906599;-0.001765313;-0.002596034
12.4;6.97E-05;0.000872225;-0.001914899;-0.002834573
12.5;0.000177943;0.000862552;-0.002087073;-0.003089847
12.6;0.000336363;0.000884496;-0.002283789;-0.003350286
12.7;0.000537665;0.000937487;-0.00250564;-0.003601315
12.8;0.00076442;0.001013215;-0.002751431;-0.003827386
12.9;0.000992843;0.001097656;-0.003017837;-0.004014693
13;0.001198793;0.001174908;-0.00329926;-0.004154045
13.1;0.001364112;0.001231706;-0.003588029;-0.004243135
13.2;0.001481275;0.001261171;-0.003875054;-0.004287492
13.3;0.001554777;0.001264564;-0.004150956;-0.004299621
13.4;0.001598774;0.001250394;-0.004407527;-0.0042963
13.5;0.001631745;0.001231094;-0.004639237;-0.004294596
13.6;0.001670001;0.001218312;-0.004844334;-0.004307578
13.7;0.001722233;0.001218342;-0.005025195;-0.00434098
13.8;0.001786947;0.00122922;-0.005187653;-0.004391917
13.9;0.001853565;0.001240476;-0.005339366;-0.004450203
14;0.001906659;0.001235691;-0.005487601;-0.004502068
14.1;0.00193162;0.001197063;-0.00563703;-0.004535258
14.2;0.001919583;0.001110538;-0.005788252;-0.004543975
14.3;0.001869697;0.000969879;-0.005937567;-0.004532008
14.4;0.00178789;0.000778429;-0.006078182;-0.004512891
14.5;0.001682653;0.000548086;-0.006202573;-0.004506808
14.6;0.001559565;0.000295957;-0.006305315;-0.004535006
14.7;0.001416877;3.99E-05;-0.006385443;-0.004613384
14.8;0.001244135;-0.000205754;-0.006447536;-0.004747263
14.9;0.001024758;-0.000432373;-0.006501015;-0.004929095
15;0.000741965;-0.000637554;-0.006557786;-0.005139933
15.1;0.000386121;-0.000823175;-0.006628868;-0.005354332
15.2;-3.91E-05;-0.000992572;-0.006721085;-0.005547148
15.3;-0.000514274;-0.001147939;-0.006834926;-0.005700056
15.4;-0.001006089;-0.001289133;-0.006964398;-0.005805716
15.5;-0.001474103;-0.001414439;-0.007099027;-0.005868236
15.6;-0.001879404;-0.001523008;-0.007227503;-0.005899945
15.7;-0.002192976;-0.001618006;-0.00734184;-0.005915705
15.8;-0.002400901;-0.001709067;-0.007440722;-0.005926962
15.9;-0.002504893;-0.001812835;-0.007530866;-0.00593775
16;-0.002518265;-0.001950925;-0.007625874;-0.005944194
16.1;-0.002459095;-0.002145519;-0.00774279;-0.005937705
16.200001;-0.002343269;-0.002413621;-0.007897386;-0.005910644
16.299999;-0.002180043;-0.002761529;-0.008099573;-0.005862192
16.4;-0.001971644;-0.003181112;-0.008350338;-0.005801983
16.5;-0.001716788;-0.003649061;-0.008641141;-0.005749784
16.6;-0.00141632;-0.004129433;-0.008955841;-0.005730971
16.700001;-0.001078254;-0.004578974;-0.009274446;-0.005769148
16.799999;-0.000719645;-0.004953997;-0.009577368;-0.005878516
16.9;-0.000363927;-0.005217229;-0.009848734;-0.006058864
17;-3.42E-05;-0.005343203;-0.010077691;-0.006295314
17.1;0.000254918;-0.005321191;-0.010257402;-0.006563259
17.200001;0.000504422;-0.005155372;-0.010382322;-0.006837053
17.299999;0.000732484;-0.004862547;-0.010445004;-0.007099425
17.4;0.000970276;-0.004468168;-0.010433971;-0.007348116
17.5;0.001251856;-0.004001628;-0.010333826;-0.00759697
17.6;0.00160131;-0.003491707;-0.010128032;-0.007870577
17.700001;0.002021416;-0.002962852;-0.009803799;-0.008193866
17.799999;0.002488098;-0.002432663;-0.009357625;-0.00858005
