X a:y(Bogie1.Bogie) - Acceleration of point (1.2 -1 1.1) of body Bogie1.Bogie relative to Base0  SC Base0  projection Y, a:z(Bogie1.Bogie) - Acceleration of point (1.2 -1 1.1) of body Bogie1.Bogie relative to Base0  SC Base0  projection Z,
0,0,3.7514341
0.0049999999,-0.20595022,3.2413819
0.010625,-0.28461143,2.2772119
0.015625,-0.14616741,1.4152253
0.020625001,-0.072137006,0.52772838
0.025625,-0.12104886,-0.30832008
0.030625001,-0.21079831,-1.013746
0.035625,-0.26740029,-1.5244626
0.040624999,-0.30270144,-1.8231263
0.045625001,-0.32711262,-1.9308343
0.050625,-0.33489463,-1.7967814
0.055624999,-0.31229079,-1.4475523
0.060625002,-0.25123525,-1.0069723
0.065624997,-0.14172228,-0.44599846
0.070625,0.010822164,0.11515927
0.075625002,0.18885915,0.65876901
0.080624998,0.37284312,1.1012299
0.085625,0.54121321,1.4096982
0.090625003,0.67663485,1.5429034
0.095624998,0.77028072,1.4991629
0.100625,0.80682939,1.286153
0.105625,0.76776016,0.94526422
0.110625,0.66051954,0.53263146
0.115625,0.49748179,0.11819235
0.120625,0.30002505,-0.22624016
0.125625,0.09683115,-0.43503267
0.13062499,-0.070682816,-0.45960024
0.135625,-0.21240015,-0.28342229
0.140625,-0.28479338,0.090464324
0.145625,-0.18546,0.61705911
0.15062501,-0.039908689,1.2238809
0.155625,0.12717466,1.819279
0.160625,0.30801126,2.2959998
0.16562501,0.45570049,2.5653865
0.170625,0.58595902,2.5268288
0.175625,0.64354122,2.1467395
0.18062501,0.6048398,1.3995343
0.185625,0.43425441,0.33605185
0.190625,0.1558855,-0.95490938
0.19562501,-0.16660918,-2.3483002
0.200625,-0.64795035,-3.6848016
0.205625,-1.1470325,-4.8037906
0.21062499,-1.6202437,-5.5498486
0.215625,-2.0165653,-5.8109617
0.220625,-2.1975293,-5.5146108
0.22562499,-2.1733551,-4.6582227
0.230625,-1.9154029,-3.3020065
0.235625,-1.4575362,-1.5799347
0.24062499,-0.83255631,0.32240218
0.245625,-0.11452293,2.1749172
0.25062501,0.63718826,3.7383764
0.25562501,1.2142438,4.792737
0.260625,1.6427294,5.166029
0.265625,1.9673023,4.7508903
0.270625,1.9601392,3.5374613
0.27562499,1.6450119,1.6145742
0.28062499,1.047241,-0.84680736
0.28562501,0.23859374,-3.5810513
0.29062501,-0.66637915,-6.2850904
0.295625,-1.5011612,-8.6310244
0.300625,-2.3965263,-10.311337
0.30562499,-3.0598886,-11.080424
0.31062499,-3.417702,-10.770362
0.31562501,-3.3940537,-9.3313551
0.32062501,-2.9438891,-6.8352933
0.325625,-2.0805559,-3.4833031
0.330625,-0.77249265,0.40050966
0.33562499,0.68363953,4.4403992
0.34062499,2.114893,8.1830196
0.34562501,3.4166181,11.218917
0.35062501,4.5788698,13.166213
0.355625,5.2953062,13.777325
0.360625,5.576251,12.935382
0.36562499,5.2321777,10.68422
0.37062499,4.3397765,7.2148738
0.37562501,5.0980206,3.3405254
0.38062501,4.0986295,-1.6748934
0.385625,0.88055968,-6.6336136
