X a:y(Vehicle body) - Acceleration of point (0 0 0) of body Vehicle body relative to Base0  SC Base0  projection Y, a:z(Vehicle body) - Acceleration of point (0 0 0) of body Vehicle body relative to Base0  SC Base0  projection Z,
0,0,0
0.0049999999,2.0376054E-0022,0.024800356
0.0099999998,1.0867235E-0021,0.068585604
0.015,-1.0976007E-0018,0.11283135
0.02,-1.4853633E-0017,0.15133786
0.025,5.2510732E-0015,0.1817587
0.029999999,1.9992994E-0012,0.20298703
0.035,7.555391E-0011,0.21476959
0.039999999,-1.938756E-0010,0.21743846
0.045125,7.7720117E-0008,0.21139668
0.050124999,3.2067367E-0006,0.19821042
0.055125002,2.5408133E-0005,0.17919406
0.060125001,6.2446736E-0005,0.1558934
0.065125003,8.2253304E-0005,0.12991163
0.070124999,8.0626574E-0005,0.10282433
0.075125001,7.3657582E-0005,0.076092705
0.080124997,6.3272833E-0005,0.050989825
0.085124999,4.6431222E-0005,0.028549518
0.090125002,2.2912909E-0005,0.0095418785
0.095124997,-4.3466457E-0006,-0.0055342354
0.100125,-3.0966676E-0005,-0.016448632
0.105125,-5.3133277E-0005,-0.023223961
0.110125,-6.8592693E-0005,-0.026104903
0.115125,-7.67456E-0005,-0.025519179
0.120125,-7.8409714E-0005,-0.022036729
0.12512501,-7.5468794E-0005,-0.016325871
0.130125,-7.0373324E-0005,-0.0091044568
0.135125,-6.5491186E-0005,-0.0010911338
0.14012501,-6.2480176E-0005,0.0070356335
0.145125,-6.1882347E-0005,0.014668744
0.150125,-6.303288E-0005,0.021296339
0.15512501,-6.4286534E-0005,0.026518963
0.160125,-6.3497508E-0005,0.03005825
0.165125,-5.8649053E-0005,0.031757504
0.17012499,-4.8449976E-0005,0.031577017
0.175125,-3.2726661E-0005,0.029585483
0.180125,-1.2524367E-0005,0.025946284
0.18512499,1.0085102E-0005,0.02089793
0.190125,3.242684E-0005,0.014731028
0.195125,5.1774558E-0005,0.0077651958
0.20012499,6.5907116E-0005,0.00032805256
0.205125,7.3543182E-0005,-0.0072629447
0.210125,7.4558338E-0005,-0.014715433
0.21512499,6.9935559E-0005,-0.021773793
0.220125,6.1476814E-0005,-0.028228061
0.225125,5.1353902E-0005,-0.033920594
0.230125,4.16113E-0005,-0.038750071
0.23512501,3.3744673E-0005,-0.042671785
0.240125,2.844827E-0005,-0.045693815
0.245125,2.5571298E-0005,-0.047869794
0.25012499,2.4275332E-0005,-0.049289752
0.25512499,2.3335322E-0005,-0.050070371
0.26012501,2.1497764E-0005,-0.050345488
0.26512501,1.7805491E-0005,-0.050257348
0.270125,1.1823889E-0005,-0.049948636
0.275125,3.7297789E-0006,-0.049555242
0.28012499,-5.7497191E-0006,-0.049199589
0.28512499,-1.5521986E-0005,-0.048984826
0.29012501,-2.4382971E-0005,-0.048990559
0.29512501,-3.1275675E-0005,-0.049270645
0.300125,-3.5496447E-0005,-0.049853168
0.305125,-3.6807996E-0005,-0.050742257
0.31012499,-3.5443787E-0005,-0.051921025
0.31512499,-3.2014275E-0005,-0.05335515
0.32012501,-2.7346399E-0005,-0.054996617
0.32512501,-2.2298436E-0005,-0.056787387
0.330125,-1.7590299E-0005,-0.05866313
0.335125,-1.3681063E-0005,-0.060557101
0.34012499,-1.0719344E-0005,-0.062404118
0.34512499,-8.5669226E-0006,-0.064144365
0.35012501,-6.8768049E-0006,-0.065726452
0.35512501,-5.2092873E-0006,-0.067109458
0.36012501,-3.1593106E-0006,-0.068263948
0.365125,-4.6428778E-0007,-0.069171935
0.370125,2.9316645E-0006,-0.069826245
0.37512499,6.8700201E-0006,-0.070229508
0.38012499,1.1017331E-0005,-0.070393063
0.38512501,1.4941503E-0005,-0.070335716
0.39012501,1.8206149E-0005,-0.070082262
0.395125,2.0459922E-0005,-0.069661669
0.400125,2.1502381E-0005,-0.06910497
0.40512499,2.1314121E-0005,-0.068443142
0.41012499,2.0044408E-0005,-0.06770514
0.41512501,1.7955261E-0005,-0.066916496
0.42012501,1.5364985E-0005,-0.066098496
0.425125,1.2603356E-0005,-0.065267839
0.430125,9.9538756E-0006,-0.06443654
0.43512499,7.6005199E-0006,-0.063612022
0.44012499,5.6069916E-0006,-0.062797159
0.44512501,3.9288325E-0006,-0.061990459
0.45012501,2.4491412E-0006,-0.061186448
0.455125,1.0258615E-0006,-0.06037645
0.460125,-4.6153869E-0007,-0.059549641
0.46512499,-2.0766095E-0006,-0.058694199
0.47012499,-3.8083899E-0006,-0.057798389
0.47512501,-5.5744022E-0006,-0.056851301
0.48012501,-7.2416751E-0006,-0.055843327
0.48512501,-8.6590317E-0006,-0.054766387
0.490125,-9.6918338E-0006,-0.053614143
0.495125,-1.0250807E-0005,-0.052382246
0.50012499,-1.030884E-0005,-0.051068608
0.50512499,-9.9032422E-0006,-0.049673595
0.51012498,-9.1244228E-0006,-0.048199967
0.51512498,-8.0945765E-0006,-0.046652552
0.52012497,-6.9406037E-0006,-0.045037717
0.52512503,-5.7761349E-0006,-0.043362789
0.53012502,-4.6836062E-0006,-0.041635577
0.53512502,-3.7039774E-0006,-0.039864037
0.54012501,-2.8396817E-0006,-0.038056094
0.54512501,-2.0598613E-0006,-0.036219481
0.550125,-1.3132462E-0006,-0.0343615
0.555125,-5.5545109E-0007,-0.032488797
0.56012499,2.3100444E-0007,-0.030607073
0.56512499,1.0351974E-0006,-0.028720818
0.57012498,1.822502E-0006,-0.026833298
0.57512498,2.5399693E-0006,-0.02494671
0.58012497,3.1253323E-0006,-0.02306244
0.58512503,3.5225482E-0006,-0.021181244
0.59012502,3.6908757E-0006,-0.019303452
0.59512502,3.6138804E-0006,-0.017429089
0.60012501,3.3100077E-0006,-0.015557905
0.60512501,2.830046E-0006,-0.013689426
0.61012501,2.2421327E-0006,-0.011823143
0.615125,1.6141068E-0006,-0.0099587245
0.620125,1.0030698E-0006,-0.0080962265
0.62512499,4.6087106E-0007,-0.0062361811
0.63012499,2.7465374E-0008,-0.0043796236
0.63512498,-2.8233111E-0007,-0.0025280816
0.64012498,-4.74502E-0007,-0.00068346335
0.64512497,-5.7056224E-0007,0.0011520564
0.65012503,-6.0070369E-0007,0.0029760678
0.65512502,-5.9452634E-0007,0.0047859186
0.66012502,-5.7545566E-0007,0.0065787234
0.66512501,-5.598086E-0007,0.0083514201
0.67012501,-5.5692408E-0007,0.01010087
0.675125,-5.6465007E-0007,0.011824029
0.680125,-5.7378583E-0007,0.013518056
0.68512499,-5.8011915E-0007,0.015180328
0.69012499,-5.8236196E-0007,0.016808465
0.69512498,-5.7887439E-0007,0.018400325
0.70012498,-5.7095724E-0007,0.019954
0.70512497,-5.611858E-0007,0.021467801
0.71012503,-5.5144636E-0007,0.022940261
0.71512502,-5.4241883E-0007,0.024370153
0.72012502,-5.3411435E-0007,0.025756482
0.72512501,-5.2675171E-0007,0.027098477
0.73012501,-5.2164955E-0007,0.028395515
0.73512501,-5.1848826E-0007,0.029647067
0.740125,-5.159643E-0007,0.030852657
0.745125,-5.1498017E-0007,0.032011822
0.75012499,-5.1245888E-0007,0.033124067
0.75512499,-5.0439911E-0007,0.03418887
0.76012498,-4.9022071E-0007,0.035205733
0.76512498,-4.7308203E-0007,0.036174148
0.77012497,-4.5465418E-0007,0.03709361
0.77512503,-4.3526353E-0007,0.037963584
0.78012502,-4.1564266E-0007,0.038783498
0.78512502,-3.9708979E-0007,0.039552726
0.79012501,-3.8080344E-0007,0.040270638
0.79512501,-3.6731487E-0007,0.040936634
0.800125,-3.5637686E-0007,0.041550178
0.805125,-3.4857953E-0007,0.042110804
0.81012499,-3.4367633E-0007,0.042618126
0.81512499,-3.3869057E-0007,0.04307184
0.82012498,-3.2889457E-0007,0.043471716
0.82512498,-3.133496E-0007,0.043817621
0.83012497,-2.9553291E-0007,0.044109464
0.83512503,-2.7862393E-0007,0.044347268
0.84012502,-2.6382912E-0007,0.044531193
0.84512502,-2.4974565E-0007,0.044661518
0.85012501,-2.3625225E-0007,0.044738613
0.85512501,-2.246103E-0007,0.04476295
0.86012501,-2.1489764E-0007,0.044735048
0.865125,-2.0620892E-0007,0.044655491
0.870125,-1.9760289E-0007,0.044524912
0.87512499,-1.8828777E-0007,0.044344019
0.88012499,-1.7774119E-0007,0.044113584
0.88512498,-1.6619597E-0007,0.043834429
0.89012498,-1.5504497E-0007,0.043507393
0.89512497,-1.4350873E-0007,0.043133352
0.90012503,-1.2812316E-0007,0.04271321
0.90512502,-1.0915091E-0007,0.042247903
0.91012502,-9.0229918E-0008,0.041738357
0.91512501,-7.4036301E-0008,0.041185543
0.92012501,-6.1741353E-0008,0.040590458
0.925125,-5.3013274E-0008,0.039954148
0.930125,-4.7224464E-0008,0.03927768
0.93512499,-4.442645E-0008,0.038562134
0.94012499,-4.2753353E-0008,0.037808608
0.94512498,-4.0268123E-0008,0.037018254
0.95012498,-3.6342559E-0008,0.036192268
0.95512497,-2.9163042E-0008,0.035331894
0.96012503,-1.6621085E-0008,0.034438416
0.96512502,1.3173694E-0009,0.033513162
0.97012502,2.0069569E-0008,0.032557484
0.97512501,3.5517949E-0008,0.031572733
0.98012501,4.8815263E-0008,0.030560298
0.98512501,5.8916399E-0008,0.029521633
0.990125,6.0371207E-0008,0.0284582
0.995125,-9.0231246E-0008,0.027371505
1.0001251,-3.9953325E-0006,0.026263135
1.005125,-1.0924082E-0005,0.025135078
1.010125,-1.7187562E-0005,0.023988524
1.015125,-2.0701547E-0005,0.022824418
1.020125,-2.0667872E-0005,0.021644061
1.025125,-1.7320652E-0005,0.020448638
1.030125,-1.15592E-0005,0.019239757
1.035125,-4.6045493E-0006,0.018019058
1.040125,2.2768054E-0006,0.016788153
1.045125,8.021646E-0006,0.015548699
1.050125,1.1896064E-0005,0.014302189
1.055125,1.3572288E-0005,0.013049987
1.060125,1.3119182E-0005,0.011793507
1.065125,1.0934863E-0005,0.010534313
1.070125,7.6245465E-0006,0.0092740776
1.075125,3.8806816E-0006,0.0080144787
1.080125,3.5518073E-0007,0.0067571253
1.085125,-2.4361987E-0006,0.0055035213
1.090125,-4.1669587E-0006,0.0042550494
1.095125,-4.7171593E-0006,0.0030129994
1.100125,-4.1757985E-0006,0.0017786456
1.105125,-2.7954022E-0006,0.00055331591
1.1101249,-9.2166079E-0007,-0.00066157716
1.1151249,1.0752577E-0006,-0.0018646232
1.1201251,2.8599084E-0006,-0.0030545124
1.1251251,4.1779158E-0006,-0.0042300574
1.130125,4.8887068E-0006,-0.0053901519
1.135125,4.9719129E-0006,-0.0065337196
1.140125,4.5062957E-0006,-0.007659676
1.145125,3.6413232E-0006,-0.0087669138
1.150125,2.5677612E-0006,-0.0098542962
1.155125,1.4809998E-0006,-0.010920698
1.160125,5.5060548E-0007,-0.011965062
1.165125,-1.015941E-0007,-0.01298641
1.170125,-4.1644964E-0007,-0.013983838
1.175125,-3.9905331E-0007,-0.01495648
1.180125,-1.0754187E-0007,-0.01590346
1.185125,3.6463689E-0007,-0.016823886
1.190125,9.0969911E-0007,-0.017716864
1.195125,1.4253696E-0006,-0.018581545
1.200125,1.8293895E-0006,-0.019417156
1.205125,2.0701452E-0006,-0.02022301
1.210125,2.1277265E-0006,-0.020998489
1.215125,2.0177292E-0006,-0.021742979
1.220125,1.7759186E-0006,-0.022455897
1.225125,1.4534309E-0006,-0.023136672
1.230125,1.1030917E-0006,-0.023784747
1.2351249,7.7504643E-0007,-0.024399618
1.2401249,5.13168E-0007,-0.024980858
1.2451251,3.4517697E-0007,-0.02552814
1.2501251,2.7831402E-0007,-0.026041184
1.255125,3.0248333E-0007,-0.02651974
1.260125,3.935719E-0007,-0.02696358
1.265125,5.2070936E-0007,-0.027372483
1.270125,6.5235929E-0007,-0.027746251
1.275125,7.6108302E-0007,-0.02808474
1.280125,8.2721249E-0007,-0.028387873
1.285125,8.4074554E-0007,-0.02865563
1.290125,8.0108794E-0007,-0.028888043
1.295125,7.1583946E-0007,-0.029085169
1.300125,6.0056544E-0007,-0.029247086
1.305125,4.7305272E-0007,-0.029373897
1.310125,3.4987451E-0007,-0.029465737
1.315125,2.4422749E-0007,-0.02952279
1.320125,1.6465509E-0007,-0.029545296
1.325125,1.1445341E-0007,-0.029533552
1.330125,9.1960658E-0008,-0.029487893
1.335125,9.1517123E-0008,-0.029408678
1.340125,1.0496418E-0007,-0.029296285
1.345125,1.2314889E-0007,-0.029151119
1.350125,1.3485788E-0007,-0.028973622
1.355125,1.3353082E-0007,-0.028764283
1.3601249,1.2017931E-0007,-0.028523637
1.3651249,9.7159969E-0008,-0.028252253
1.3701251,6.623975E-0008,-0.027950738
1.3751251,2.9111151E-0008,-0.027619708
1.380125,-1.1949558E-0008,-0.027259808
1.385125,-5.4611707E-0008,-0.026871696
1.390125,-9.6992828E-0008,-0.026456073
1.395125,-1.3521887E-0007,-0.026013663
1.400125,-1.6586574E-0007,-0.025545232
1.405125,-1.8770275E-0007,-0.025051564
1.410125,-2.0154278E-0007,-0.024533467
1.415125,-2.0941135E-0007,-0.023991758
1.420125,-2.1385905E-0007,-0.023427263
1.425125,-2.1730348E-0007,-0.022840828
1.430125,-2.2176948E-0007,-0.022233319
1.435125,-2.2861587E-0007,-0.021605633
1.440125,-2.3848096E-0007,-0.020958681
1.445125,-2.5124916E-0007,-0.020293389
1.450125,-2.6625992E-0007,-0.019610684
1.455125,-2.8243903E-0007,-0.018911501
1.460125,-2.9856395E-0007,-0.01819678
1.465125,-3.1344544E-0007,-0.017467471
1.470125,-3.2615685E-0007,-0.016724531
1.475125,-3.360984E-0007,-0.015968937
1.480125,-3.4309528E-0007,-0.015201677
1.4851249,-3.4732827E-0007,-0.014423735
1.4901249,-3.4927015E-0007,-0.0136361
1.4951251,-3.4956633E-0007,-0.012839755
1.5001251,-3.4890314E-0007,-0.012035685
1.505125,-3.4792276E-0007,-0.011224875
1.510125,-3.4711826E-0007,-0.010408316
1.515125,-3.4673818E-0007,-0.0095869983
1.520125,-3.4649139E-0007,-0.0087619126
1.525125,-3.4636437E-0007,-0.0079340246
1.530125,-3.4659567E-0007,-0.0071043265
1.535125,-3.4715714E-0007,-0.0062737959
1.540125,-3.469813E-0007,-0.0054433756
1.545125,-3.4433523E-0007,-0.0046140058
1.550125,-3.4059926E-0007,-0.0037866442
1.555125,-3.3742114E-0007,-0.0029622328
1.560125,-3.3516497E-0007,-0.0021416957
1.565125,-3.3330787E-0007,-0.001325943
1.570125,-3.3104769E-0007,-0.00051587162
1.575125,-3.2772786E-0007,0.0002876402
1.580125,-3.2299334E-0007,0.0010837287
1.585125,-3.1680065E-0007,0.0018715421
1.590125,-3.0933958E-0007,0.0026502425
1.595125,-3.0095958E-0007,0.0034190088
1.600125,-2.9202295E-0007,0.0041770381
1.605125,-2.8290773E-0007,0.0049235481
1.6101249,-2.7388185E-0007,0.0056577818
